,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
0,0_1,9.0,2858.4444444444443,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C1_T0.tif,4017.2912926561376,3165.8875,14394.888888888889,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C0_T0.tif,15174.600095973476,8920.1275
1,0_2,44.0,3303.0454545454545,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C1_T0.tif,4017.2912926561376,3165.8875,14211.318181818182,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C0_T0.tif,15174.600095973476,8920.1275
2,0_3,5.0,2497.6,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C1_T0.tif,4017.2912926561376,3165.8875,13195.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C0_T0.tif,15174.600095973476,8920.1275
3,0_4,35.0,2576.1428571428573,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C1_T0.tif,4017.2912926561376,3165.8875,13460.914285714285,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C0_T0.tif,15174.600095973476,8920.1275
4,0_5,6.0,6091.666666666667,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C1_T0.tif,4017.2912926561376,3165.8875,13165.333333333334,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C0_T0.tif,15174.600095973476,8920.1275
5,1_1,27.0,3036.5925925925926,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C1_T0.tif,3979.511266862612,3136.7375,13791.111111111111,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C0_T0.tif,15203.107976569903,8407.135
6,1_2,36.0,3202.8888888888887,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C1_T0.tif,3979.511266862612,3136.7375,13308.611111111111,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C0_T0.tif,15203.107976569903,8407.135
7,1_3,5.0,2462.6,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C1_T0.tif,3979.511266862612,3136.7375,11511.2,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C0_T0.tif,15203.107976569903,8407.135
8,2_1,5.0,2863.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C1_T0.tif,4017.2291754433,3214.6975,12088.4,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C0_T0.tif,15197.168164259321,7906.63
9,2_2,36.0,3117.277777777778,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C1_T0.tif,4017.2291754433,3214.6975,13585.277777777777,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C0_T0.tif,15197.168164259321,7906.63
10,2_3,27.0,3107.296296296296,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C1_T0.tif,4017.2291754433,3214.6975,13421.074074074075,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C0_T0.tif,15197.168164259321,7906.63
