,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
0,0_1,5.0,4828.0,SKA3Mut-CENPB-SET3\Particle_Channel\SKA3Q70K-CENPB-SET3_Z00_C1_T0.tif,4648.735650136666,3232.895,7632.0,SKA3Mut-CENPB-SET3\Mask_Channel\SKA3Q70K-CENPB-SET3_Z00_C0_T0.tif,6276.961425092913,4129.64
1,0_2,5.0,5846.2,SKA3Mut-CENPB-SET3\Particle_Channel\SKA3Q70K-CENPB-SET3_Z00_C1_T0.tif,4648.735650136666,3232.895,8137.2,SKA3Mut-CENPB-SET3\Mask_Channel\SKA3Q70K-CENPB-SET3_Z00_C0_T0.tif,6276.961425092913,4129.64
2,0_3,5.0,4815.8,SKA3Mut-CENPB-SET3\Particle_Channel\SKA3Q70K-CENPB-SET3_Z00_C1_T0.tif,4648.735650136666,3232.895,8799.0,SKA3Mut-CENPB-SET3\Mask_Channel\SKA3Q70K-CENPB-SET3_Z00_C0_T0.tif,6276.961425092913,4129.64
3,1_1,5.0,4078.6,SKA3Mut-CENPB-SET3\Particle_Channel\SKA3Q70K-CENPB-SET3_Z01_C1_T0.tif,4607.5629705244355,3278.1875,6796.4,SKA3Mut-CENPB-SET3\Mask_Channel\SKA3Q70K-CENPB-SET3_Z01_C0_T0.tif,6315.499307437519,3979.3525
4,1_2,5.0,4344.6,SKA3Mut-CENPB-SET3\Particle_Channel\SKA3Q70K-CENPB-SET3_Z01_C1_T0.tif,4607.5629705244355,3278.1875,7786.2,SKA3Mut-CENPB-SET3\Mask_Channel\SKA3Q70K-CENPB-SET3_Z01_C0_T0.tif,6315.499307437519,3979.3525
5,1_3,5.0,5593.4,SKA3Mut-CENPB-SET3\Particle_Channel\SKA3Q70K-CENPB-SET3_Z01_C1_T0.tif,4607.5629705244355,3278.1875,8537.4,SKA3Mut-CENPB-SET3\Mask_Channel\SKA3Q70K-CENPB-SET3_Z01_C0_T0.tif,6315.499307437519,3979.3525
6,1_4,5.0,4173.8,SKA3Mut-CENPB-SET3\Particle_Channel\SKA3Q70K-CENPB-SET3_Z01_C1_T0.tif,4607.5629705244355,3278.1875,7549.8,SKA3Mut-CENPB-SET3\Mask_Channel\SKA3Q70K-CENPB-SET3_Z01_C0_T0.tif,6315.499307437519,3979.3525
7,1_5,12.0,5089.0,SKA3Mut-CENPB-SET3\Particle_Channel\SKA3Q70K-CENPB-SET3_Z01_C1_T0.tif,4607.5629705244355,3278.1875,7430.083333333333,SKA3Mut-CENPB-SET3\Mask_Channel\SKA3Q70K-CENPB-SET3_Z01_C0_T0.tif,6315.499307437519,3979.3525
8,1_6,8.0,5263.5,SKA3Mut-CENPB-SET3\Particle_Channel\SKA3Q70K-CENPB-SET3_Z01_C1_T0.tif,4607.5629705244355,3278.1875,7690.375,SKA3Mut-CENPB-SET3\Mask_Channel\SKA3Q70K-CENPB-SET3_Z01_C0_T0.tif,6315.499307437519,3979.3525
9,1_7,10.0,5153.7,SKA3Mut-CENPB-SET3\Particle_Channel\SKA3Q70K-CENPB-SET3_Z01_C1_T0.tif,4607.5629705244355,3278.1875,7772.0,SKA3Mut-CENPB-SET3\Mask_Channel\SKA3Q70K-CENPB-SET3_Z01_C0_T0.tif,6315.499307437519,3979.3525
