,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
0,0_1,5.0,3889.6,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z00_C1_T0.tif,3834.906909124475,2674.6125,11167.2,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z00_C0_T0.tif,9503.945748987855,8158.0
1,1_1,5.0,3443.4,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,10262.2,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.919499592059,7565.765
2,1_2,5.0,3169.2,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,10272.4,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.919499592059,7565.765
3,1_3,5.0,3072.8,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,9601.6,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.919499592059,7565.765
4,1_4,8.0,3447.875,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,9243.0,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.919499592059,7565.765
5,1_5,9.0,3276.222222222222,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,10796.555555555555,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.919499592059,7565.765
6,1_6,5.0,4317.4,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,10394.2,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.919499592059,7565.765
7,1_7,5.0,3980.2,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,9956.6,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.919499592059,7565.765
8,1_8,5.0,2478.0,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,8465.6,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.919499592059,7565.765
9,1_9,5.0,4269.6,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,11074.2,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.919499592059,7565.765
10,1_10,5.0,4994.2,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,11194.2,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.919499592059,7565.765
11,1_11,5.0,4816.4,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,11238.4,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.919499592059,7565.765
12,2_1,4.0,4077.5,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z02_C1_T0.tif,3948.0290591543735,2751.915,8924.0,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z02_C0_T0.tif,9135.372589342838,7043.43
