,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
0,0_1,12.0,23698.833333333332,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z00_C1_T0.tif,16333.082707936384,4477.1675,25031.583333333332,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z00_C0_T0.tif,20467.29877518481,15280.205
3,0_4,36.0,29890.583333333332,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z00_C1_T0.tif,16333.082707936384,4477.1675,25190.083333333332,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z00_C0_T0.tif,20467.29877518481,15280.205
4,0_5,21.0,23407.0,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z00_C1_T0.tif,16333.082707936384,4477.1675,25053.47619047619,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z00_C0_T0.tif,20467.29877518481,15280.205
5,0_6,28.0,33717.71428571428,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z00_C1_T0.tif,16333.082707936384,4477.1675,27311.178571428572,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z00_C0_T0.tif,20467.29877518481,15280.205
7,0_8,20.0,34814.8,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z00_C1_T0.tif,16333.082707936384,4477.1675,26733.6,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z00_C0_T0.tif,20467.29877518481,15280.205
11,1_1,37.0,22710.405405405407,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,23151.756756756757,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
12,1_2,5.0,17837.8,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,21262.0,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
13,1_3,35.0,22289.114285714284,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,22650.742857142857,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
14,1_4,22.0,26130.363636363636,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,23583.454545454544,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
16,1_6,40.0,31279.675,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,23203.075,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
17,1_7,22.0,27322.727272727272,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,24134.636363636364,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
18,1_8,5.0,25506.4,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,24888.4,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
19,1_9,8.0,29169.375,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,25298.125,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
20,1_10,5.0,34413.4,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,25222.6,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
21,1_11,36.0,32699.722222222223,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,25494.416666666668,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
23,1_13,14.0,34019.07142857143,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,24285.214285714286,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
25,1_15,5.0,40859.6,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,23562.6,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
34,1_24,5.0,14848.0,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,21285.6,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97
36,2_1,33.0,24525.272727272728,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,20741.81818181818,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
37,2_2,5.0,24710.0,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,22024.6,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
38,2_3,47.0,23863.978723404256,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,21912.702127659573,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
39,2_4,16.0,28384.8125,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,22404.6875,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
40,2_5,40.0,29015.5,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,21138.825,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
41,2_6,24.0,29019.958333333332,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,23247.875,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
42,2_7,32.0,27029.09375,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,22893.90625,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
43,2_8,23.0,29262.478260869564,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,22172.652173913044,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
44,2_9,32.0,34080.625,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,24402.21875,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
45,2_10,46.0,32289.391304347828,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,23866.956521739132,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
47,2_12,31.0,39393.6129032258,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,22746.322580645163,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
48,2_13,11.0,28910.545454545456,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,21046.81818181818,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
49,2_14,41.0,25852.80487804878,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,22238.48780487805,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
50,2_15,11.0,32631.727272727272,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,21325.909090909092,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
51,2_16,27.0,29671.962962962964,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,22889.14814814815,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
52,2_17,8.0,14906.125,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,18758.125,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
53,2_18,5.0,19243.0,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z02_C1_T0.tif,16939.893441965003,4747.6025,20483.4,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z02_C0_T0.tif,17215.29231692677,10272.1875
