,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg
0,0_1,13.0,2863.4615384615386,SKA3WT-CENPB-SET6_1\Particle_Channel\SKA3WT-CENPB-SET6_1_Z00_C1_T0.tif,3449.973382928361,2183.3275,16754.46153846154,SKA3WT-CENPB-SET6_1\Mask_Channel\SKA3WT-CENPB-SET6_1_Z00_C0_T0.tif,13883.735281990195,11108.205
1,0_2,68.0,3241.3823529411766,SKA3WT-CENPB-SET6_1\Particle_Channel\SKA3WT-CENPB-SET6_1_Z00_C1_T0.tif,3449.973382928361,2183.3275,18994.882352941175,SKA3WT-CENPB-SET6_1\Mask_Channel\SKA3WT-CENPB-SET6_1_Z00_C0_T0.tif,13883.735281990195,11108.205
2,0_3,5.0,3574.8,SKA3WT-CENPB-SET6_1\Particle_Channel\SKA3WT-CENPB-SET6_1_Z00_C1_T0.tif,3449.973382928361,2183.3275,16459.8,SKA3WT-CENPB-SET6_1\Mask_Channel\SKA3WT-CENPB-SET6_1_Z00_C0_T0.tif,13883.735281990195,11108.205
3,0_4,31.0,2989.935483870968,SKA3WT-CENPB-SET6_1\Particle_Channel\SKA3WT-CENPB-SET6_1_Z00_C1_T0.tif,3449.973382928361,2183.3275,17469.58064516129,SKA3WT-CENPB-SET6_1\Mask_Channel\SKA3WT-CENPB-SET6_1_Z00_C0_T0.tif,13883.735281990195,11108.205
5,0_6,19.0,4023.1052631578946,SKA3WT-CENPB-SET6_1\Particle_Channel\SKA3WT-CENPB-SET6_1_Z00_C1_T0.tif,3449.973382928361,2183.3275,16327.421052631578,SKA3WT-CENPB-SET6_1\Mask_Channel\SKA3WT-CENPB-SET6_1_Z00_C0_T0.tif,13883.735281990195,11108.205
6,0_7,11.0,6333.727272727273,SKA3WT-CENPB-SET6_1\Particle_Channel\SKA3WT-CENPB-SET6_1_Z00_C1_T0.tif,3449.973382928361,2183.3275,17365.363636363636,SKA3WT-CENPB-SET6_1\Mask_Channel\SKA3WT-CENPB-SET6_1_Z00_C0_T0.tif,13883.735281990195,11108.205
7,0_8,20.0,6586.45,SKA3WT-CENPB-SET6_1\Particle_Channel\SKA3WT-CENPB-SET6_1_Z00_C1_T0.tif,3449.973382928361,2183.3275,17507.05,SKA3WT-CENPB-SET6_1\Mask_Channel\SKA3WT-CENPB-SET6_1_Z00_C0_T0.tif,13883.735281990195,11108.205
8,0_9,20.0,7404.1,SKA3WT-CENPB-SET6_1\Particle_Channel\SKA3WT-CENPB-SET6_1_Z00_C1_T0.tif,3449.973382928361,2183.3275,18274.55,SKA3WT-CENPB-SET6_1\Mask_Channel\SKA3WT-CENPB-SET6_1_Z00_C0_T0.tif,13883.735281990195,11108.205
9,0_10,11.0,8498.727272727272,SKA3WT-CENPB-SET6_1\Particle_Channel\SKA3WT-CENPB-SET6_1_Z00_C1_T0.tif,3449.973382928361,2183.3275,18037.272727272728,SKA3WT-CENPB-SET6_1\Mask_Channel\SKA3WT-CENPB-SET6_1_Z00_C0_T0.tif,13883.735281990195,11108.205
10,0_11,5.0,8284.0,SKA3WT-CENPB-SET6_1\Particle_Channel\SKA3WT-CENPB-SET6_1_Z00_C1_T0.tif,3449.973382928361,2183.3275,17826.8,SKA3WT-CENPB-SET6_1\Mask_Channel\SKA3WT-CENPB-SET6_1_Z00_C0_T0.tif,13883.735281990195,11108.205
