label,area,min_intensity_particle,max_intensity_particle,mean_intensity_particle,fname_particle,particle_cyto,particle_bg,min_intensity_mask,max_intensity_mask,mean_intensity_mask,fname_mask,mask_cyto,mask_bg,Particle Intensity * Area,mask@kt/mask@cyto,particle@kt/particle@cyto,mask@kt/mask@cyto:particle@kt/particle@cyto,condition
0_1,16.0,98.0,2129.0,967.6875,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-C(particle)0000.tif,1070.3449213439503,524.5375,278.0,1111.0,707.1875,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-A(mask)0000.tif,455.79991663193,250.4875,15483.0,1.5515305602196323,0.9040894021199716,1.716125149328701,Control
1_1,8.0,65.0,851.0,442.625,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-C(particle)0001.tif,1129.884178068992,526.175,275.0,954.0,626.25,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-A(mask)0001.tif,464.2474943751278,242.8325,3541.0,1.3489571997430505,0.3917436924875435,3.4434688435626675,Control
1_2,40.0,204.0,4272.0,1924.95,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-C(particle)0001.tif,1129.884178068992,526.175,241.0,2024.0,832.775,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-A(mask)0001.tif,464.2474943751278,242.8325,76998.0,1.7938168974307687,1.7036701967893744,1.0529132345047056,Control
2_1,31.0,369.0,3576.0,1952.3870967741937,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-C(particle)0002.tif,1229.9560373980505,520.0175,442.0,1794.0,1048.8064516129032,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-A(mask)0002.tif,485.79308240081383,228.5525,60524.0,2.1589571560583964,1.5873633182080498,1.3600901137715657,Control
2_2,8.0,1783.0,2607.0,2302.5,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-C(particle)0002.tif,1229.9560373980505,520.0175,585.0,1607.0,1017.625,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-A(mask)0002.tif,485.79308240081383,228.5525,18420.0,2.094770462705739,1.8720181290958144,1.1189904788569083,Control
2_3,10.0,258.0,868.0,562.3,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-C(particle)0002.tif,1229.9560373980505,520.0175,361.0,1407.0,863.3,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-A(mask)0002.tif,485.79308240081383,228.5525,5623.0,1.7770940576871288,0.45717081172229157,3.8871555491312177,Control
2_4,42.0,531.0,7359.0,3104.0714285714284,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-C(particle)0002.tif,1229.9560373980505,520.0175,362.0,3246.0,1186.8095238095239,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-A(mask)0002.tif,485.79308240081383,228.5525,130371.0,2.4430350427063545,2.5237255106597427,0.9680272408340104,Control
3_1,39.0,172.0,7822.0,3440.5128205128203,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-C(particle)0003.tif,1345.987105093488,484.62,583.0,4523.0,1851.5128205128206,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-A(mask)0003.tif,507.9595435684647,216.485,134180.0,3.645000559504729,2.5561261378309066,1.4259861849375814,Control
3_2,29.0,266.0,5456.0,2565.8275862068967,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-C(particle)0003.tif,1345.987105093488,484.62,655.0,3022.0,1497.1724137931035,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-A(mask)0003.tif,507.9595435684647,216.485,74409.0,2.947424519825581,1.906279470655614,1.5461660082883297,Control
3_3,37.0,1392.0,14543.0,5631.054054054054,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-C(particle)0003.tif,1345.987105093488,484.62,359.0,9517.0,2598.4594594594596,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-mitosis-CENP-A(mask)0003.tif,507.9595435684647,216.485,208349.0,5.115485066399248,4.18358692497499,1.2227509929006266,Control
