,Unnamed: 0,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg,mKate2_astrin@kt/mKate2_astrin@cyto,nuf2_GFP@kt/nuf2_GFP@cyto,mKate2_astrin@kt/mKate2_astrin@cyto:nuf2_GFP@kt/nuf2_GFP@cyto,condition,cell,Experiment
0,0,0_1,48.0,10186.75,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,3543.364367928209,2269.4825,1508.9375,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1241.2145813215614,849.7875,1.2156943067760173,2.874880746728328,0.42286773396061794,cdki,set3_astrin_cdki_cell_2,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D
1,1,0_2,61.0,10013.032786885247,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,3543.364367928209,2269.4825,1876.967213114754,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1241.2145813215614,849.7875,1.5122020328799926,2.8258546813631327,0.5351308554021391,cdki,set3_astrin_cdki_cell_2,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D
2,2,0_3,76.0,10156.934210526317,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,3543.364367928209,2269.4825,1965.6184210526321,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1241.2145813215614,849.7875,1.5836249836509129,2.866466204395749,0.5524659531036547,cdki,set3_astrin_cdki_cell_2,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D
3,3,0_4,28.0,8948.17857142857,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,3543.364367928209,2269.4825,1921.4642857142856,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1241.2145813215614,849.7875,1.548051654105159,2.525334016569268,0.6130086728916072,cdki,set3_astrin_cdki_cell_2,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D
4,5,0_6,66.0,11857.484848484848,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,3543.364367928209,2269.4825,1218.409090909091,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1241.2145813215614,849.7875,0.981626472363716,3.346391625938789,0.29333879058113316,cdki,set3_astrin_cdki_cell_2,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D
5,6,0_7,47.0,12239.638297872341,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,3543.364367928209,2269.4825,2029.7446808510642,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1241.2145813215614,849.7875,1.6352891042336366,3.4542420781379617,0.47341473679087165,cdki,set3_astrin_cdki_cell_2,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D
6,7,0_8,73.0,11024.945205479453,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,3543.364367928209,2269.4825,1561.0684931506848,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1241.2145813215614,849.7875,1.2576942912550744,3.11143423613691,0.4042168967121094,cdki,set3_astrin_cdki_cell_2,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D
7,8,0_9,74.0,10441.608108108108,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C0_T0.tif,3543.364367928209,2269.4825,1759.081081081081,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z00_C1_T0.tif,1241.2145813215614,849.7875,1.4172256010786874,2.946806205598685,0.4809361397387034,cdki,set3_astrin_cdki_cell_2,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D
8,9,1_1,54.0,12479.796296296296,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,3575.5700205530648,2295.81,1633.5555555555554,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1211.0191977623801,877.4725,1.348909710575937,3.490295596103565,0.38647434678077386,cdki,set3_astrin_cdki_cell_2,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D
9,10,1_2,54.0,11935.5,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C0_T0.tif,3575.5700205530648,2295.81,2129.796296296296,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D_Z01_C1_T0.tif,1211.0191977623801,877.4725,1.7586808699907939,3.3380691557968234,0.5268557324334351,cdki,set3_astrin_cdki_cell_2,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_02_R3D_D3D
