,Unnamed: 0,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg,mKate2_astrin@kt/mKate2_astrin@cyto,nuf2_GFP@kt/nuf2_GFP@cyto,mKate2_astrin@kt/mKate2_astrin@cyto:nuf2_GFP@kt/nuf2_GFP@cyto,condition,cell,Experiment
0,0,0_1,8,9062.625,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C0_T0.tif,4693.892210978228,3479.395,5346.5,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C1_T0.tif,4048.710469848317,2837.24,1.3205439212847205,1.9307271221107374,0.6839619675726399,dmso,set3_astrin_dmso_cell_3,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D
1,1,0_2,8,8632.875,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C0_T0.tif,4693.892210978228,3479.395,6294.75,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C1_T0.tif,4048.710469848317,2837.24,1.554754296924529,1.839171973273939,0.845355583663493,dmso,set3_astrin_dmso_cell_3,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D
2,2,0_3,39,10369.51282051282,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C0_T0.tif,4693.892210978228,3479.395,9184.846153846154,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C1_T0.tif,4048.710469848317,2837.24,2.2685855711955267,2.2091501795163224,1.02690418796798,dmso,set3_astrin_dmso_cell_3,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D
3,3,0_4,36,8407.888888888889,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C0_T0.tif,4693.892210978228,3479.395,5509.25,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C1_T0.tif,4048.710469848317,2837.24,1.3607419056088743,1.7912402993030485,0.7596646335716787,dmso,set3_astrin_dmso_cell_3,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D
4,4,0_5,35,8771.2,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C0_T0.tif,4693.892210978228,3479.395,6645.228571428572,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C1_T0.tif,4048.710469848317,2837.24,1.641319778462087,1.868641120366086,0.8783493847874522,dmso,set3_astrin_dmso_cell_3,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D
5,5,0_6,12,8837.166666666666,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C0_T0.tif,4693.892210978228,3479.395,7926.916666666668,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C1_T0.tif,4048.710469848317,2837.24,1.9578867705409535,1.8826948445893181,1.0399384563928296,dmso,set3_astrin_dmso_cell_3,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D
6,6,0_7,35,9108.314285714288,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C0_T0.tif,4693.892210978228,3479.395,5671.6285714285705,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C1_T0.tif,4048.710469848317,2837.24,1.4008481499644145,1.9404608960579595,0.7219151660361893,dmso,set3_astrin_dmso_cell_3,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D
7,7,0_8,29,8871.965517241379,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C0_T0.tif,4693.892210978228,3479.395,4938.2758620689665,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C1_T0.tif,4048.710469848317,2837.24,1.2197157338973603,1.8901084896008769,0.6453151978355065,dmso,set3_astrin_dmso_cell_3,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D
8,8,0_9,24,9534.291666666666,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C0_T0.tif,4693.892210978228,3479.395,5892.541666666668,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C1_T0.tif,4048.710469848317,2837.24,1.455411966489031,2.0312123155209134,0.7165237997859343,dmso,set3_astrin_dmso_cell_3,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D
9,9,0_10,22,8800.681818181818,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C0_T0.tif,4693.892210978228,3479.395,6255.318181818182,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D_Z00_C1_T0.tif,4048.710469848317,2837.24,1.5450149444873824,1.8749220098404682,0.8240422462259341,dmso,set3_astrin_dmso_cell_3,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_04_R3D_D3D
