,Unnamed: 0,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg,mKate2_astrin@kt/mKate2_astrin@cyto,nuf2_GFP@kt/nuf2_GFP@cyto,mKate2_astrin@kt/mKate2_astrin@cyto:nuf2_GFP@kt/nuf2_GFP@cyto,condition,cell,Experiment
0,0,0_1,48.0,15276.645833333336,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,6130.030381115988,4306.3125,6510.666666666668,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,4310.299613647494,3125.515,1.5104905111589593,2.4920995302721782,0.606111631100861,cdki,set3_timelapse_cdki_cell_1,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
1,1,0_2,24.0,14479.416666666664,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,6130.030381115988,4306.3125,8283.416666666666,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,4310.299613647494,3125.515,1.9217728253598156,2.362046477171072,0.813605000550813,cdki,set3_timelapse_cdki_cell_1,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
2,2,0_3,70.0,17372.64285714286,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,6130.030381115988,4306.3125,6232.9,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,4310.299613647494,3125.515,1.44604796851362,2.8340223093609076,0.5102457957854659,cdki,set3_timelapse_cdki_cell_1,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
3,3,0_4,43.0,15958.232558139534,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,6130.030381115988,4306.3125,7440.116279069767,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,4310.299613647494,3125.515,1.7261250831641692,2.6032876781981455,0.6630558342130284,cdki,set3_timelapse_cdki_cell_1,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
4,4,0_5,90.0,17873.12222222222,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,6130.030381115988,4306.3125,4703.933333333333,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,4310.299613647494,3125.515,1.0913239809222302,2.9156661730880966,0.3742966156397685,cdki,set3_timelapse_cdki_cell_1,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
5,5,0_6,46.0,14982.652173913044,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,6130.030381115988,4306.3125,6655.739130434783,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,4310.299613647494,3125.515,1.5441476758044932,2.444139954031584,0.6317754731096463,cdki,set3_timelapse_cdki_cell_1,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
6,6,0_7,32.0,15732.84375,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,6130.030381115988,4306.3125,7479.46875,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,4310.299613647494,3125.515,1.7352549521889657,2.5665197024905764,0.6761120713412241,cdki,set3_timelapse_cdki_cell_1,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
7,7,0_8,54.0,15358.314814814818,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,6130.030381115988,4306.3125,7767.685185185185,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,4310.299613647494,3125.515,1.8021218665613727,2.5054222997209346,0.7192886671289312,cdki,set3_timelapse_cdki_cell_1,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
8,8,0_9,56.0,24354.946428571428,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,6130.030381115988,4306.3125,8206.839285714286,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,4310.299613647494,3125.515,1.9040066866185743,3.9730547671670013,0.47922991204478965,cdki,set3_timelapse_cdki_cell_1,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
9,9,0_10,16.0,13040.9375,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,6130.030381115988,4306.3125,8273.0625,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,4310.299613647494,3125.515,1.9193706334950362,2.127385459650179,0.9022204343780049,cdki,set3_timelapse_cdki_cell_1,Expt2020_017_setIII_STLC_GM132_RO3306_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
