,Unnamed: 0,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg,mKate2_astrin@kt/mKate2_astrin@cyto,nuf2_GFP@kt/nuf2_GFP@cyto,mKate2_astrin@kt/mKate2_astrin@cyto:nuf2_GFP@kt/nuf2_GFP@cyto,condition,cell,Experiment
0,0,0_1,64,16420.25,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,8854.065902460221,4900.3825,5436.546875,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,5168.727419902342,2762.93,1.0518153567290878,1.854543458439519,0.5671559498606324,dmso,set3_timelapse_dmso_cell_1,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
1,1,0_2,12,15655.083333333336,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,8854.065902460221,4900.3825,5325.583333333333,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,5168.727419902342,2762.93,1.0303471049425073,1.7681236514157141,0.5827347562018762,dmso,set3_timelapse_dmso_cell_1,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
2,2,0_3,35,17049.228571428568,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,8854.065902460221,4900.3825,5638.914285714286,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,5168.727419902342,2762.93,1.0909676265769936,1.925581846718716,0.5665651805120904,dmso,set3_timelapse_dmso_cell_1,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
3,3,0_4,53,17814.188679245282,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,8854.065902460221,4900.3825,5739.547169811321,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,5168.727419902342,2762.93,1.1104371934397275,2.0119783244775005,0.551913099624521,dmso,set3_timelapse_dmso_cell_1,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
4,4,0_5,65,17687.184615384616,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,8854.065902460221,4900.3825,5245.353846153847,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,5168.727419902342,2762.93,1.01482500817444,1.997634172845946,0.5080134400828062,dmso,set3_timelapse_dmso_cell_1,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
6,6,0_7,78,18323.294871794868,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,8854.065902460221,4900.3825,5988.705128205128,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,5168.727419902342,2762.93,1.1586420876336865,2.069478031183786,0.5598716537091811,dmso,set3_timelapse_dmso_cell_1,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
7,7,0_8,8,15629.125,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,8854.065902460221,4900.3825,6387.5,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,5168.727419902342,2762.93,1.23579741802687,1.7651918533447146,0.7000924096070694,dmso,set3_timelapse_dmso_cell_1,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
8,8,0_9,14,15882.571428571431,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,8854.065902460221,4900.3825,6320.0,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,5168.727419902342,2762.93,1.2227381106739441,1.7938167169230406,0.681640492664894,dmso,set3_timelapse_dmso_cell_1,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
9,9,0_10,56,16858.48214285714,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,8854.065902460221,4900.3825,4797.892857142857,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,5168.727419902342,2762.93,0.9282541847086817,1.9040384754955106,0.48751860671676345,dmso,set3_timelapse_dmso_cell_1,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
10,10,0_11,50,17202.88,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C0_T00.tif,8854.065902460221,4900.3825,5069.52,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D_Z0_C1_T00.tif,5168.727419902342,2762.93,0.9808062194341415,1.9429356173212975,0.504806340822743,dmso,set3_timelapse_dmso_cell_1,Expt2020_017_setIII_STLC_GM132_DMSO_mKate2-Astrin_Nuf2-GFP_GFP_mCherry_timelapse_02_R3D_D3D
