,Unnamed: 0,label,area,mean_intensity_nuf2_GFP,fname_nuf2_GFP,nuf2_GFP_cyto,nuf2_GFP_bg,mean_intensity_mKate2_astrin,fname_mKate2_astrin,mKate2_astrin_cyto,mKate2_astrin_bg,mKate2_astrin@kt/mKate2_astrin@cyto,nuf2_GFP@kt/nuf2_GFP@cyto,mKate2_astrin@kt/mKate2_astrin@cyto:nuf2_GFP@kt/nuf2_GFP@cyto,condition,cell,Experiment
0,0,0_1,59,13400.084745762713,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498798,5498.0175,7702.881355932203,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.18154668343,6258.6425,0.9327575704636524,1.8817236744728298,0.49569316851209144,cdki,set4_cdki_cell_3,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D
1,1,0_2,38,16432.28947368421,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498798,5498.0175,16177.210526315792,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.18154668343,6258.6425,1.9589313258453036,2.307524819065036,0.8489318553197726,cdki,set4_cdki_cell_3,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D
2,2,0_3,21,13089.047619047617,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498798,5498.0175,9864.190476190475,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.18154668343,6258.6425,1.1944748877738143,1.8380458966016953,0.6498612956195713,cdki,set4_cdki_cell_3,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D
3,3,0_4,21,13257.904761904761,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498798,5498.0175,10279.0,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.18154668343,6258.6425,1.2447050167028781,1.861757872260551,0.668564390272487,cdki,set4_cdki_cell_3,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D
4,4,0_5,21,13965.238095238095,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498798,5498.0175,9395.809523809525,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.18154668343,6258.6425,1.1377576855988323,1.9610860410244089,0.5801671430002653,cdki,set4_cdki_cell_3,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D
5,5,0_6,12,13573.5,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498798,5498.0175,7850.833333333332,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.18154668343,6258.6425,0.9506733763302051,1.9060757286280257,0.4987594994530938,cdki,set4_cdki_cell_3,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D
6,6,0_7,32,13971.6875,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498798,5498.0175,13088.875,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.18154668343,6258.6425,1.5849584955245535,1.961991706761379,0.8078313940178744,cdki,set4_cdki_cell_3,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D
7,7,0_8,33,13906.424242424244,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498798,5498.0175,12347.060606060606,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.18154668343,6258.6425,1.4951306817684713,1.9528270321206196,0.7656237122777201,cdki,set4_cdki_cell_3,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D
8,8,0_9,32,15378.15625,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498798,5498.0175,13105.21875,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.18154668343,6258.6425,1.5869375934539958,2.1594968415791342,0.7348645123711068,cdki,set4_cdki_cell_3,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D
9,9,0_10,47,15114.085106382981,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C0_T0.tif,7121.175615498798,5498.0175,13941.72340425532,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D_Z0_C1_T0.tif,8258.18154668343,6258.6425,1.6882316434245088,2.1224143206759445,0.795429821113741,cdki,set4_cdki_cell_3,Expt2020_017_setIV_STLC_MG132_RO_Nuf2-GFP_mKate2-Astrin_GFP_mCherry_cell08_a01_R3D_D3D
