,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,GFP_ska@kt/GFP_ska@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:GFP_ska@kt/GFP_ska@cyto,condition,cell,Experiment
0,0_1,12.0,23698.83333333333,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z00_C1_T0.tif,16333.082707936384,4477.1675,25031.58333333333,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z00_C0_T0.tif,20467.29877518481,15280.205,1.2230037587413538,1.450971243892487,0.8428862831632898,WildType,SKA_WildT_cell_1,SKA3WT-CENPB-SET3
1,0_4,36.0,29890.58333333333,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z00_C1_T0.tif,16333.082707936384,4477.1675,25190.08333333333,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z00_C0_T0.tif,20467.29877518481,15280.205,1.2307478192420083,1.8300637955386854,0.6725163473766954,WildType,SKA_WildT_cell_1,SKA3WT-CENPB-SET3
2,0_5,21.0,23407.0,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z00_C1_T0.tif,16333.082707936384,4477.1675,25053.47619047619,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z00_C0_T0.tif,20467.29877518481,15280.205,1.2240734092791867,1.4331036227855711,0.8541415915898074,WildType,SKA_WildT_cell_1,SKA3WT-CENPB-SET3
3,0_6,28.0,33717.71428571428,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z00_C1_T0.tif,16333.082707936384,4477.1675,27311.17857142857,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z00_C0_T0.tif,20467.29877518481,15280.205,1.3343811936991652,2.064381530948261,0.6463830322519042,WildType,SKA_WildT_cell_1,SKA3WT-CENPB-SET3
4,0_8,20.0,34814.8,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z00_C1_T0.tif,16333.082707936384,4477.1675,26733.6,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z00_C0_T0.tif,20467.29877518481,15280.205,1.306161613881977,2.131551074744953,0.6127751895592103,WildType,SKA_WildT_cell_1,SKA3WT-CENPB-SET3
5,1_1,37.0,22710.40540540541,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,23151.756756756757,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97,1.2116426509733582,1.359752841319122,0.8910756529825823,WildType,SKA_WildT_cell_1,SKA3WT-CENPB-SET3
6,1_2,5.0,17837.8,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,21262.0,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97,1.1127426015944561,1.068012604790806,1.0418815251833207,WildType,SKA_WildT_cell_1,SKA3WT-CENPB-SET3
7,1_3,35.0,22289.11428571428,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,22650.742857142857,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97,1.1854221867606147,1.3345286418036797,0.8882703222903179,WildType,SKA_WildT_cell_1,SKA3WT-CENPB-SET3
8,1_4,22.0,26130.363636363636,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,23583.454545454544,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97,1.2342354701106995,1.5645179187682163,0.7888918722531754,WildType,SKA_WildT_cell_1,SKA3WT-CENPB-SET3
9,1_6,40.0,31279.675,SKA3WT-CENPB-SET3\Particle_Channel\SKA3WT-CENPB-Set3_Z01_C1_T0.tif,16701.862805724028,4576.9575,23203.075,SKA3WT-CENPB-SET3\Mask_Channel\SKA3WT-CENPB-Set3_Z01_C0_T0.tif,19107.743308770187,12584.97,1.214328381172575,1.8728255263406843,0.6483937580374891,WildType,SKA_WildT_cell_1,SKA3WT-CENPB-SET3
