,Unnamed: 0,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,GFP_ska@kt/GFP_ska@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:GFP_ska@kt/GFP_ska@cyto,condition,cell,Experiment
0,0,0_1,8.0,11134.75,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z00_C1_T0.tif,8903.32491166933,6046.92,11721.875,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z00_C0_T0.tif,9291.316199086588,7778.39,1.2615946706401355,1.2506282889222662,1.0087686979536659,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
1,1,0_2,5.0,10364.4,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z00_C1_T0.tif,8903.32491166933,6046.92,11871.0,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z00_C0_T0.tif,9291.316199086588,7778.39,1.2776446033735258,1.164104433211876,1.097534350804233,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
2,2,0_3,8.0,10608.125,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z00_C1_T0.tif,8903.32491166933,6046.92,11269.875,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z00_C0_T0.tif,9291.316199086588,7778.39,1.2129470958170512,1.1914790379149522,1.018017990429498,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
3,3,0_4,5.0,9356.8,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z00_C1_T0.tif,8903.32491166933,6046.92,9993.2,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z00_C0_T0.tif,9291.316199086588,7778.39,1.0755419131018717,1.0509332291957934,1.023416029888892,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
4,4,0_5,5.0,8083.6,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z00_C1_T0.tif,8903.32491166933,6046.92,11502.4,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z00_C0_T0.tif,9291.316199086588,7778.39,1.2379731518695682,0.907930473188175,1.363510960836524,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
5,6,1_1,5.0,9888.4,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z01_C1_T0.tif,9084.553974695633,6078.315,9601.4,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z01_C0_T0.tif,9200.19299282014,7772.9775,1.0436085425048107,1.0884849192974604,0.9587717055174139,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
6,7,1_2,5.0,11795.2,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z01_C1_T0.tif,9084.553974695633,6078.315,12111.8,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z01_C0_T0.tif,9200.19299282014,7772.9775,1.3164723837263073,1.2983796488913684,1.0139348570738824,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
7,8,1_3,5.0,5102.6,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z01_C1_T0.tif,9084.553974695633,6078.315,11169.6,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z01_C0_T0.tif,9200.19299282014,7772.9775,1.2140614885705976,0.5616786486395395,2.1614876967661423,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
8,9,1_4,5.0,4944.8,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z01_C1_T0.tif,9084.553974695633,6078.315,10204.4,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z01_C0_T0.tif,9200.19299282014,7772.9775,1.1091506458574885,0.54430850581915,2.0377242574746957,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
9,10,1_5,13.0,4404.923076923077,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z01_C1_T0.tif,9084.553974695633,6078.315,12141.692307692307,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z01_C0_T0.tif,9200.19299282014,7772.9775,1.3197214794480638,0.48488050037378516,2.721745828984081,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
10,12,2_1,5.0,6695.2,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z02_C1_T0.tif,9529.91577846399,6030.68,7882.6,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z02_C0_T0.tif,9279.795883598856,7706.0675,0.8494367870668078,0.7025455581811151,1.2090842752831474,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
11,13,2_2,5.0,10883.0,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z02_C1_T0.tif,9529.91577846399,6030.68,8905.4,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z02_C0_T0.tif,9279.795883598856,7706.0675,0.9596547285850797,1.1419828100258507,0.8403407828558789,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
12,14,2_3,5.0,9630.0,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z02_C1_T0.tif,9529.91577846399,6030.68,8796.6,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z02_C0_T0.tif,9279.795883598856,7706.0675,0.9479303327724204,1.0105021097628357,0.9380785290937187,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
13,15,2_4,5.0,12958.6,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z02_C1_T0.tif,9529.91577846399,6030.68,11834.4,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D_Z02_C0_T0.tif,9279.795883598856,7706.0675,1.275286671004926,1.359781167141504,0.9378616955592934,Q70K,SKA_Q70K_cell_1,EXPT-2021-005-SET5_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS3_R3D_D3D
