,Unnamed: 0,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,GFP_ska@kt/GFP_ska@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:GFP_ska@kt/GFP_ska@cyto,condition,cell,Experiment
0,0,0_1,5.0,3889.6,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z00_C1_T0.tif,3834.906909124475,2674.6125,11167.2,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z00_C0_T0.tif,9503.945748987857,8158.0,1.175006707207822,1.0142619083517757,1.1584845073372265,Q70K,SKA_Q70K_cell_3,SKA3Mut-CENPB-SET6_1
1,1,1_1,5.0,3443.4,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,10262.2,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.91949959206,7565.765,1.1021682660288943,0.8989574385640113,1.2260516669059334,Q70K,SKA_Q70K_cell_3,SKA3Mut-CENPB-SET6_1
2,2,1_2,5.0,3169.2,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,10272.4,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.91949959206,7565.765,1.103263753966519,0.827372920455673,1.3334540286366878,Q70K,SKA_Q70K_cell_3,SKA3Mut-CENPB-SET6_1
3,3,1_3,5.0,3072.8,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,9601.6,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.91949959206,7565.765,1.0312193119509492,0.8022060803913266,1.2854793015878252,Q70K,SKA_Q70K_cell_3,SKA3Mut-CENPB-SET6_1
4,4,1_4,8.0,3447.875,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,9243.0,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.91949959206,7565.765,0.9927053928889583,0.9001257125192805,1.102851945102829,Q70K,SKA_Q70K_cell_3,SKA3Mut-CENPB-SET6_1
5,5,1_5,9.0,3276.222222222222,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,10796.555555555555,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.91949959206,7565.765,1.1595584685302653,0.855312870144445,1.355712639205861,Q70K,SKA_Q70K_cell_3,SKA3Mut-CENPB-SET6_1
6,6,1_6,5.0,4317.4,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,10394.2,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.91949959206,7565.765,1.1163451687510995,1.1271298266992689,0.9904317517887432,Q70K,SKA_Q70K_cell_3,SKA3Mut-CENPB-SET6_1
7,7,1_7,5.0,3980.2,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,9956.6,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.91949959206,7565.765,1.0693465882114253,1.0390980998351855,1.029110329795654,Q70K,SKA_Q70K_cell_3,SKA3Mut-CENPB-SET6_1
8,8,1_8,5.0,2478.0,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,8465.6,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.91949959206,7565.765,0.9092120279174257,0.646923544392641,1.405439693450997,Q70K,SKA_Q70K_cell_3,SKA3Mut-CENPB-SET6_1
9,9,1_9,5.0,4269.6,SKA3Mut-CENPB-SET6_1\Particle_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C1_T0.tif,3830.4371845462056,2766.555,11074.2,SKA3Mut-CENPB-SET6_1\Mask_Channel\SKA3Q70K-CENPB-SET6_1_Z01_C0_T0.tif,9310.91949959206,7565.765,1.1893776979260957,1.1146508333893543,1.0670406034771598,Q70K,SKA_Q70K_cell_3,SKA3Mut-CENPB-SET6_1
