,Unnamed: 0,label,area,mean_intensity_GFP_ska,fname_GFP_ska,GFP_ska_cyto,GFP_ska_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,GFP_ska@kt/GFP_ska@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:GFP_ska@kt/GFP_ska@cyto,condition,cell,Experiment
0,0,0_1,9.0,2858.444444444445,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C1_T0.tif,4017.2912926561376,3165.8875,14394.888888888889,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C0_T0.tif,15174.600095973477,8920.1275,0.9486173472675908,0.711535269964083,1.3331979275116963,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
1,1,0_2,44.0,3303.0454545454545,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C1_T0.tif,4017.2912926561376,3165.8875,14211.318181818182,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C0_T0.tif,15174.600095973477,8920.1275,0.9365201120251664,0.8222071077055404,1.1390318853343764,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
2,2,0_3,5.0,2497.6,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C1_T0.tif,4017.2912926561376,3165.8875,13195.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C0_T0.tif,15174.600095973477,8920.1275,0.8695451554931746,0.621712447032599,1.3986291566840396,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
3,3,0_4,35.0,2576.142857142857,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C1_T0.tif,4017.2912926561376,3165.8875,13460.914285714285,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C0_T0.tif,15174.600095973477,8920.1275,0.8870687992157426,0.6412636449470839,1.3833137215956506,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
4,4,0_5,6.0,6091.666666666668,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C1_T0.tif,4017.2912926561376,3165.8875,13165.333333333336,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z00_C0_T0.tif,15174.600095973477,8920.1275,0.8675901341760371,1.516361703171144,0.5721524965723278,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
5,5,1_1,27.0,3036.5925925925926,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C1_T0.tif,3979.5112668626125,3136.7375,13791.111111111111,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C0_T0.tif,15203.107976569905,8407.135,0.9071244598384175,0.7630566642387212,1.188803534981807,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
6,6,1_2,36.0,3202.888888888889,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C1_T0.tif,3979.5112668626125,3136.7375,13308.611111111111,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C0_T0.tif,15203.107976569905,8407.135,0.8753875281042222,0.8048447847250346,1.0876476368089874,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
7,7,1_3,5.0,2462.6,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C1_T0.tif,3979.5112668626125,3136.7375,11511.2,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z01_C0_T0.tif,15203.107976569905,8407.135,0.7571609711475018,0.6188197079641584,1.2235566537440594,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
8,8,2_1,5.0,2863.0,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C1_T0.tif,4017.2291754433004,3214.6975,12088.4,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C0_T0.tif,15197.16816425932,7906.63,0.7954376676853181,0.7126802766197845,1.1161213433014434,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
9,9,2_2,36.0,3117.277777777778,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C1_T0.tif,4017.2291754433004,3214.6975,13585.277777777776,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_Z02_C0_T0.tif,15197.16816425932,7906.63,0.8939348193650719,0.7759770831181885,1.1520118812953621,Q70K,set6_Q70K_cell_1,EXPT-2021-005-SET6_GFP-SKA3Q70K_CENPBdsRed_MG132_MITOSIS4_R3D_D3D
