,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,YFP_astrin@kt/YFP_astrin@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:YFP_astrin@kt/YFP_astrin@cyto,condition,cell,Experiment
0,0_1,24,9698.458333333334,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C0_T00.tif,12770.238597068994,8532.5625,19374.70833333333,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C1_T00.tif,14084.86204465335,6640.465,1.375569620200009,0.759457880102515,1.811252020999938,Q1012,set4_Q1012_cell_1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D
1,0_2,25,9201.48,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C0_T00.tif,12770.238597068994,8532.5625,19566.92,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C1_T00.tif,14084.86204465335,6640.465,1.3892163045663377,0.7205409617101367,1.928018500529328,Q1012,set4_Q1012_cell_1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D
2,0_3,26,10293.53846153846,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C0_T00.tif,12770.238597068994,8532.5625,20930.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C1_T00.tif,14084.86204465335,6640.465,1.4859925453047005,0.8060568628608878,1.8435331473148915,Q1012,set4_Q1012_cell_1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D
3,0_4,27,11115.814814814818,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C0_T00.tif,12770.238597068994,8532.5625,21695.81481481481,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C1_T00.tif,14084.86204465335,6640.465,1.540364026714099,0.8704469168936361,1.7696243123144098,Q1012,set4_Q1012_cell_1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D
4,0_5,11,10964.727272727272,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C0_T00.tif,12770.238597068994,8532.5625,19805.81818181818,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C1_T00.tif,14084.86204465335,6640.465,1.4061776479618784,0.8586156937775524,1.6377264684917192,Q1012,set4_Q1012_cell_1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D
5,0_6,14,11529.5,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C0_T00.tif,12770.238597068994,8532.5625,21067.785714285714,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C1_T00.tif,14084.86204465335,6640.465,1.4957750844484203,0.9028413926930257,1.6567418115232535,Q1012,set4_Q1012_cell_1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D
6,0_7,5,11689.2,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C0_T00.tif,12770.238597068994,8532.5625,19149.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C1_T00.tif,14084.86204465335,6640.465,1.359544732443369,0.9153470321754903,1.4852779160840903,Q1012,set4_Q1012_cell_1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D
7,0_8,5,9600.8,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C0_T00.tif,12770.238597068994,8532.5625,23769.8,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C1_T00.tif,14084.86204465335,6640.465,1.6876132634201466,0.7518105419113751,2.2447321091423134,Q1012,set4_Q1012_cell_1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D
8,0_9,5,11917.6,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C0_T00.tif,12770.238597068994,8532.5625,19378.2,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C1_T00.tif,14084.86204465335,6640.465,1.3758175222849283,0.933232367540518,1.4742496832925103,Q1012,set4_Q1012_cell_1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D
9,0_10,5,10552.0,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C0_T00.tif,12770.238597068994,8532.5625,19892.8,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D_Z0_C1_T00.tif,14084.86204465335,6640.465,1.412353201396911,0.8262962292984783,1.7092577108768754,Q1012,set4_Q1012_cell_1,Exp2018_032_IV_HeLa_MG132_YFP-AstrinqQ1012_CENPB-dsRed_GFP_mcherry01_R3D_D3D
