,Unnamed: 0,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,YFP_astrin@kt/YFP_astrin@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:YFP_astrin@kt/YFP_astrin@cyto,condition,cell,Experiment
0,0,0_1,68.0,24114.279411764703,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,25805.08820303932,18037.3625,17843.720588235294,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,11828.82980154726,8428.66,1.5084941526423232,0.9344776976551674,1.6142644778227486,Q1012,set5_Q1012_cell_3,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D
1,1,0_2,26.0,24994.76923076923,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,25805.08820303932,18037.3625,16477.384615384617,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,11828.82980154726,8428.66,1.3929851804300462,0.9685984808153204,1.4381451220711157,Q1012,set5_Q1012_cell_3,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D
2,2,0_3,8.0,23634.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,25805.08820303932,18037.3625,14412.25,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,11828.82980154726,8428.66,1.2184003186954993,0.9158658871476515,1.3303261272128533,Q1012,set5_Q1012_cell_3,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D
4,4,0_5,33.0,23981.515151515152,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,25805.08820303932,18037.3625,20616.303030303032,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,11828.82980154726,8428.66,1.7428860991478916,0.9293328107551523,1.8754165127686244,Q1012,set5_Q1012_cell_3,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D
5,5,0_6,27.0,19337.555555555555,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,25805.08820303932,18037.3625,14606.222222222224,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,11828.82980154726,8428.66,1.2347985783269677,0.7493698685857614,1.647782530484346,Q1012,set5_Q1012_cell_3,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D
6,6,0_7,23.0,21341.434782608696,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,25805.08820303932,18037.3625,18649.95652173913,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,11828.82980154726,8428.66,1.5766527065339666,0.8270242912827984,1.9064164416360958,Q1012,set5_Q1012_cell_3,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D
7,7,0_8,24.0,23531.70833333333,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,25805.08820303932,18037.3625,19469.625,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,11828.82980154726,8428.66,1.645946837230957,0.9119018756371376,1.8049604691085306,Q1012,set5_Q1012_cell_3,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D
8,8,0_9,5.0,24449.4,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,25805.08820303932,18037.3625,18264.2,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,11828.82980154726,8428.66,1.544041152541646,0.947464306559524,1.6296562750194141,Q1012,set5_Q1012_cell_3,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D
9,9,0_10,5.0,26957.8,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,25805.08820303932,18037.3625,14418.0,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,11828.82980154726,8428.66,1.2188864191886561,1.0446699421405161,1.1667670046016376,Q1012,set5_Q1012_cell_3,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D
10,10,0_11,8.0,22425.875,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C0_T00.tif,25805.08820303932,18037.3625,17554.75,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D_Z0_C1_T00.tif,11828.82980154726,8428.66,1.4840648056077168,0.8690485699389582,1.7076891406793953,Q1012,set5_Q1012_cell_3,Exp2018_032_SetV_HeLa-MG132_YFP-AstrinQ1012_GFP_mcherry_03_R3D_D3D
