,label,area,mean_intensity_YFP_astrin,fname_YFP_astrin,YFP_astrin_cyto,YFP_astrin_bg,mean_intensity_CENP_B_ds_red,fname_CENP_B_ds_red,CENP_B_ds_red_cyto,CENP_B_ds_red_bg,CENP_B_ds_red@kt/CENP_B_ds_red@cyto,YFP_astrin@kt/YFP_astrin@cyto,CENP_B_ds_red@kt/CENP_B_ds_red@cyto:YFP_astrin@kt/YFP_astrin@cyto,condition,cell,Experiment
0,0_1,5.0,33913.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,57809.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425,1.1492502871100319,0.7163882915139126,1.604228182849514,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
1,0_2,8.0,41936.25,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,50875.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425,1.0114014834493397,0.885873809158739,1.141699272506777,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
2,0_3,8.0,35779.375,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,45291.875,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425,0.9004082469425466,0.7558141517319492,1.191309060407588,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
3,0_4,5.0,55460.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,53217.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425,1.0579766460129783,1.1715619733635538,0.9030479565460185,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
4,0_5,5.0,49886.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,50671.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425,1.0073538895027985,1.053823590395903,0.9559037192594572,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
5,0_6,5.0,53583.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T00.tif,47338.85296803653,32033.62,51793.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T00.tif,50301.488412389,23522.1425,1.0296593924891406,1.1319116674875884,0.9096640860453282,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
6,1_1,12.0,34492.166666666664,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,51705.583333333336,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225,1.0546214446275632,0.7371692484212536,1.4306367864451426,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
7,1_2,10.0,41284.2,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,49886.7,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225,1.017522291210366,0.8823291090925781,1.1532230782421153,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
8,1_3,5.0,37406.4,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,53282.6,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225,1.0867873247507944,0.7994524681684668,1.3594145593678726,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
9,1_4,5.0,36086.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,46256.2,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225,0.9434722001392143,0.7712327774479044,1.2233300084330823,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
10,1_5,18.0,39122.38888888889,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,47931.944444444445,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225,0.977651797639032,0.8361267151575352,1.1692627204894799,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
11,1_6,10.0,42679.8,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C0_T01.tif,46790.02378427511,32296.7175,51563.0,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D_Z0_C1_T01.tif,49027.62370017331,22923.225,1.0517132201905541,0.9121559800177652,1.1529971224549456,Q1012,set6_Q1012_cell_1,Exp2018_032_setVI_HeLa_YFP-AstrinQ1012_CENPBdsRed_GFP_mcherry_01_R3D_D3D
