label,area,min_intensity_particle,max_intensity_particle,mean_intensity_particle,fname_particle,particle_cyto,particle_bg,min_intensity_mask,max_intensity_mask,mean_intensity_mask,fname_mask,mask_cyto,mask_bg,mask@kt/mask@cyto,particle@kt/particle@cyto,mask@kt/mask@cyto:particle@kt/particle@cyto,mean_intensity_mask/mean_intensity_particle,mean_intensity_particle/mean_intensity_mask,particle@kt/particle@cyto:mask@kt/mask@cyto,condition,cell,Experiment
0_1,5.0,507.0,653.0,597.4,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,242.0,681.0,454.8,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.4055140791066438,0.9461459863683331,1.4855150255422416,0.7612989621694007,1.3135444151275284,0.6731672065282414,Interphase,KTProtein_Interphase_1,Expt-1
0_2,8.0,802.0,1146.0,1039.625,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,281.0,793.0,480.875,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.4860962682286882,1.6465299984569441,0.9025625221656408,0.46254659131898523,2.1619443722381075,1.1079564854970536,Interphase,KTProtein_Interphase_1,Expt-1
0_3,8.0,54.0,426.0,214.625,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,188.0,739.0,460.0,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.421584160925805,0.33991727874841565,4.182147392330615,2.143273150844496,0.46657608695652175,0.23911161089966346,Interphase,KTProtein_Interphase_1,Expt-1
0_4,8.0,108.0,527.0,333.625,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,158.0,537.0,358.25,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.1071359253297166,0.528386264985161,2.0953154892487773,1.0738104158860997,0.9312630844382415,0.477255098399776,Interphase,KTProtein_Interphase_1,Expt-1
0_5,5.0,511.0,928.0,701.6,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,320.0,598.0,483.4,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.4938995291120307,1.1111751323000043,1.3444321112728927,0.6889965792474344,1.4513860157219696,0.7438084761700697,Interphase,KTProtein_Interphase_1,Expt-1
0_6,12.0,67.0,598.0,292.25,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,182.0,601.0,388.75,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.2013931359997974,0.4628576573755363,2.595599569016216,1.330196749358426,0.7517684887459807,0.3852674395299811,Interphase,KTProtein_Interphase_1,Expt-1
0_7,11.0,292.0,897.0,753.4545454545455,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,118.0,619.0,376.7272727272728,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.1642380954301457,1.193300960985596,0.9756449826945198,0.5000000000000001,1.9999999999999998,1.0249629913928495,Interphase,KTProtein_Interphase_1,Expt-1
0_8,5.0,323.0,930.0,647.6,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,256.0,613.0,394.8,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.2200900581163214,1.0256513906463551,1.1895757849530464,0.6096355775169858,1.6403242147922998,0.8406358070238215,Interphase,KTProtein_Interphase_1,Expt-1
0_9,5.0,180.0,452.0,322.6,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,179.0,434.0,307.2,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,0.9493709874704507,0.5109251677308743,1.858140971381007,0.9522628642281462,1.0501302083333335,0.5381722998426649,Interphase,KTProtein_Interphase_1,Expt-1
0_10,9.0,632.0,998.0,779.7777777777778,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,396.0,818.0,558.1111111111111,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.724786773026647,1.234990985443024,1.3965986742874241,0.7157309774864633,1.3971730041807686,0.7160253109292276,Interphase,KTProtein_Interphase_1,Expt-1
0_11,9.0,661.0,1332.0,1062.111111111111,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,396.0,789.0,617.4444444444445,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.908150527117077,1.682142893965498,1.1343569764271255,0.5813369599330475,1.720172755083678,0.8815567063815233,Interphase,KTProtein_Interphase_1,Expt-1
0_12,8.0,135.0,689.0,387.625,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,167.0,580.0,388.375,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.2002342358686078,0.6139100066388101,1.955065437750321,1.00193485972267,0.9980688767299646,0.5114918307546229,Interphase,KTProtein_Interphase_1,Expt-1
0_13,11.0,143.0,1163.0,827.4545454545455,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,114.0,860.0,503.8181818181818,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.5569998853460103,1.3105001625109671,1.1880959116882066,0.6088771698527796,1.6423673763984121,0.8416828895396715,Interphase,KTProtein_Interphase_1,Expt-1
0_14,15.0,166.0,1391.0,675.2,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0000.tif,631.4036191106698,252.205,116.0,807.0,354.8,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0000.tif,323.5826711099718,159.755,1.0964740441227732,1.0693635252693314,1.0253520138033636,0.5254739336492891,1.9030439684329201,0.9752748193185627,Interphase,KTProtein_Interphase_1,Expt-1
1_2,5.0,31.0,368.0,192.8,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0001.tif,648.8041720379703,233.11,129.0,572.0,344.0,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0001.tif,309.87671594508976,150.48,1.1101189030961491,0.2971620841992932,3.7357353515923064,1.784232365145228,0.5604651162790698,0.26768491498568375,Interphase,KTProtein_Interphase_1,Expt-1
1_3,9.0,347.0,921.0,612.5555555555555,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0001.tif,648.8041720379703,233.11,317.0,833.0,585.6666666666666,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0001.tif,309.87671594508976,150.48,1.8899989464534241,0.9441301119125767,2.0018416133606296,0.9561037547614728,1.0459115917283248,0.499540020212304,Interphase,KTProtein_Interphase_1,Expt-1
1_4,5.0,1416.0,1674.0,1566.6,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0001.tif,648.8041720379703,233.11,516.0,937.0,735.4,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0001.tif,309.87671594508976,150.48,2.3732018643514765,2.4145960638309782,0.9828566773136265,0.46942423081833273,2.130269241229263,1.017442342390378,Interphase,KTProtein_Interphase_1,Expt-1
1_6,5.0,48.0,548.0,245.6,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-C(particle)0001.tif,648.8041720379703,233.11,139.0,557.0,318.6,Expt2023_011_set5_RPE-1-p21-GFP-PCNA-mRuby_200k_6days-GFP-CENPC-CENPA-DAPI-5_R3D_D3D-1-interphase-CENP-A(mask)0001.tif,309.87671594508976,150.48,1.0281508212977706,0.3785425719883112,2.7160771268007293,1.2972312703583062,0.7708725674827369,0.36817805729173136,Interphase,KTProtein_Interphase_1,Expt-1
